Clinic Aid Code,Genre,Average Age of the SME (years),"Specialty of the 
Medical Equipment",Marca,Modelo,Año,Número Serie,"Number of 
Consultations per Month",Clinic Size,% of Patients with Middle-Low to Low Income,Total Staff,Attends Patients with Health Insurance,Location of the Clinic,ZIP CODE,REGION,State,Municipality,City,Address,Instagram,Facebook,LinkedIn,Web Page,Final_Address,latitud,longitud,New_Address,geometry,CVEGEO,NSE_score,NSE,clave
MS4220-001,Enterprise,25.33424658,Ophthalmology,huvitz,Autorefractor by Huvitz  ERK9100,2024,9RK00023C0005 ,1520,Small,0.2,8,Yes,Urban,6760,Center,Ciudad de México,Cuauhtémoc,Ciudad de México,TUXPAN 10,,https://www.facebook.com/vega.oftalaser.5?locale=ms_MY,https://www.doctoralia.com.mx/alfredo-vega-navarro/oftalmologo/ciudad-de-mexico,,"TUXPAN 10, Ciudad de México",19.54703765,-99.14008975,Ciudad de México Cuauhtémoc Ciudad de México TUXPAN 10,POINT (-99.14008975 19.54703765),9.005E+11,14.82084779,Medio-Alto,9.005E+11
AP0627-001,Woman,11.00547945,Gynecology,GENERAL ELECTRIC,VOLUSON P8 BT18,2020,-,200,Micro,0.8,3,No,Semiurban,47180,West-Bajío,Jalisco,Arandas,Arandas,JESUS CARRANZA 81,,,,,"JESUS CARRANZA 81, Arandas",20.7014792,-102.3508235,Jalisco Arandas Arandas JESUS CARRANZA 81,POINT (-102.3508235 20.7014792),1.4008E+12,9.835950221,Medio,1.4008E+12
AP0635-001,Man,16.00821918,Gynecology,GENERAL ELECTRIC,VOLUSON P8 BT18,2020,-,160,Micro,0.2,4,Yes,Urban,82000,NorthWest,Sinaloa,Mazatlán,Mazatlán,ZARAGOZA 1613,https://instagram.com/drjosuejauregui?igshid=101ff94yn44wp,https://es-la.facebook.com/drjosuejauregui/,,https://www.doctoralia.com.mx/josue-de-jesus-jauregui-valdez/ginecologo/mazatlan,"ZARAGOZA 1613, Mazatlán",23.207146,-106.415034,Sinaloa Mazatlán Mazatlán ZARAGOZA 1613,POINT (-106.845195 23.207146),2.1114E+12,0.773134812,Bajo-Alto,2.1114E+12
AP0646-001,Woman,9.608219178,Gynecology,GENERAL ELECTRIC,VOLUSON P8,2020,-,100,Micro,0.4,3,No,Rural,54200,Center,México,Polotitlán,Polotitlán,Abasolo 60,,,,,"Abasolo 60, Polotitlán",20.22863301,-99.81968919,México Polotitlán Polotitlán Abasolo 60,POINT (-99.81968919 20.22863301),1.5071E+12,5.777655755,Medio-Bajo,1.5071E+12
AP0655-001,Enterprise,4.136986301,Surgery,MEISON MEDICAL,"LAMPARA DE CIRUGIA, MESA DE OPERACIONES, MONITOR DE SIGNOS, ELECTROCARDIOGRAFO Y AUTOCLAVE",2021,-,480,Small,0.2,15,No,Urban,31123,NorthWest,Chihuahua,Chihuahua,Chihuahua,PERIFERICO DE LA JUVENTUD 7501,,"https://www.facebook.com/cmach.mx/posts/356155281460585
https://www.facebook.com/Dra-Avigail-Velasco-Morales-Oncolog%C3%ADa-quir%C3%BArgica-Chihuahua-886387618236242/",https://www.doctoralia.com.mx/avigail-soveida-velasco-morales/cirujano-general-cirujano-oncologo/chihuahua,,"PERIFERICO DE LA JUVENTUD 7501, Chihuahua",28.62538617,-106.1151484,Chihuahua Chihuahua Chihuahua PERIFERICO DE LA JUVENTUD 7501,POINT (-106.1151484 28.62538617),8.019E+11,36.13512466,Alto,8.019E+11
AP0655-002,Enterprise,4.136986301,Surgery,DRAGER,FABIUS PLUS,2021,ASNH-0136,480,Small,0.2,15,No,Urban,31123,NorthWest,Chihuahua,Chihuahua,Chihuahua,PERIFERICO DE LA JUVENTUD 7501,,"https://www.facebook.com/cmach.mx/posts/356155281460585
https://www.facebook.com/Dra-Avigail-Velasco-Morales-Oncolog%C3%ADa-quir%C3%BArgica-Chihuahua-886387618236242/",https://www.doctoralia.com.mx/avigail-soveida-velasco-morales/cirujano-general-cirujano-oncologo/chihuahua,,"PERIFERICO DE LA JUVENTUD 7501, Chihuahua",28.62538617,-106.1151484,Chihuahua Chihuahua Chihuahua PERIFERICO DE LA JUVENTUD 7501,POINT (-106.1151484 28.62538617),8.019E+11,36.13512466,Alto,8.019E+11
AP0675-001,Man,13.84931507,Gynecology,GENERAL ELECTRIC,VOLUSON P8 BT 18,2021,VP8807114,240,Micro,0.7,5,No,Urban,34000,NorthEast,Durango,Durango,Victoria de Durango,ZARCO 304 NTE,https://www.instagram.com/explore/locations/622436934587989/centro-de-ultrasonido-diagnostico-ht/,https://www.facebook.com/UltrasonidoEnDurango,,,"ZARCO 304 NTE, Victoria de Durango",24.03179615,-104.6659778,Durango Durango Victoria de Durango ZARCO 304 NTE,POINT (-104.6659778 24.03179615),1.0005E+12,17.92405931,Medio-Alto,1.0005E+12
AP0678-001,Man,13.00821918,Gynecology,GENERAL ELECTRIC,F6,2021,6058094WX0,200,Micro,1,3,No,Rural,48950,West-Bajío,Jalisco,Cuautitlán de García Barragán,Cuautitlán de García Barragán,ALDAMA 4,https://www.instagram.com/robert.7350/?hl=es-la,https://www.facebook.com/drirvingcuautitlan/?ref=page_internal,,,"ALDAMA 4, Cuautitlán de García Barragán",19.45161838,-104.3635741,Jalisco Cuautitlán de García Barragán Cuautitlán de García Barragán ALDAMA 4,POINT (-104.3635741 19.45161838),1.4027E+12,-0.908270578,Bajo-Medio,1.4027E+12
AP0684-001,Man,14.00821918,Gynecology,GENERAL ELECTRIC,VOLUSON E6,2021,-,240,Micro,0.3,3,No,Urban,80060,NorthWest,Sinaloa,Culiacán,Culiacán Rosales,Estado de chihuahua 160,https://www.instagram.com/drrodolfogurrola/?hl=en,https://www.facebook.com/drrodolfogurrola/,https://www.linkedin.com/in/rodolfo-antonio-gurrola-ochoa-675a0b123/?originalSubdomain=mx,https://www.rodolfogurrola.com/,"Estado de chihuahua 160, Culiacán Rosales",24.81655137,-107.3715202,Sinaloa Culiacán Culiacán Rosales Estado de chihuahua 160,POINT (-107.3715202 24.81655137),2.5006E+12,21.86388066,Alto,2.5006E+12
MS3278-001,Man,12.00547945,Odontology,DENTSPLY SIRONA,OMNICAM AF REFURBISHED,2024,"100216 , 8189 , ",320,Micro,0.4,4,No,Urban,16020,Center,Ciudad de México,Xochimilco,Ciudad de México,AV 16 DE SEPTIEMBRE 64,https://www.instagram.com/haydentista/,https://www.facebook.com/haydentista,https://www.doctoralia.com.mx/luis-roberto-venegas-jaramillo/dentista-odontologo/ciudad-de-mexico,,"AV 16 DE SEPTIEMBRE 64, Ciudad de México",19.5454561,-99.13392418,Ciudad de México Xochimilco Ciudad de México AV 16 DE SEPTIEMBRE 64,POINT (-99.13392418 19.5454561),9.005E+11,11.50592014,Medio,9.005E+11
AP0693-002,Man,5.002739726,Imagenology,GENERAL ELECTRIC,VERSANA PREMIER,2023,6141736WX0,300,Micro,0.3,3,No,Urban,45030,West-Bajío,Jalisco,Zapopan,Zapopan,MANUEL J CLOUTHIER 596,https://www.instagram.com/rayosx.mx/?igshid=xq2m4wjl41zn,,,,"MANUEL J CLOUTHIER 596, Zapopan",20.6661219,-103.4201659,Jalisco Zapopan Zapopan MANUEL J CLOUTHIER 596,POINT (-103.4201659 20.6661219),1.412E+12,30.62895521,Alto,1.412E+12
AP0703-001,Enterprise,9.624657534,Ophthalmology,CARL ZEISS,VISULAS GREEN COMFORT,2021,1235210,3700,Medium,0.1,59,No,Urban,64000,NorthEast,Nuevo León,Monterrey,Monterrey,AVENIDA MIGUEL HIDALGO 330,,,,-,"AVENIDA MIGUEL HIDALGO 330, Monterrey",25.66787359,-100.3199957,Nuevo León Monterrey Monterrey AVENIDA MIGUEL HIDALGO 330,POINT (-100.3199957 25.66787358858505),1.9039E+12,11.16747775,Medio,1.9039E+12
AP0703-002,Enterprise,9.624657534,Ophthalmology,CARL ZEISS,CIRRUS 6000,2021,6000-11403,3700,Medium,0.1,59,No,Urban,64000,NorthEast,Nuevo León,Monterrey,Monterrey,AVENIDA MIGUEL HIDALGO 330,,,,https://wellmedic.mx/,"AVENIDA MIGUEL HIDALGO 330, Monterrey",25.66787359,-100.3199957,Nuevo León Monterrey Monterrey AVENIDA MIGUEL HIDALGO 330,POINT (-100.3199957 25.66787358858505),1.9039E+12,11.16747775,Medio,1.9039E+12
AP0703-003,Enterprise,9.624657534,Ophthalmology,CARL ZEISS,IOL MASTER 700,2021,1240565,3700,Medium,0.1,59,No,Urban,64000,NorthEast,Nuevo León,Monterrey,Monterrey,AVENIDA MIGUEL HIDALGO 330,,,,-,"AVENIDA MIGUEL HIDALGO 330, Monterrey",25.66787359,-100.3199957,Nuevo León Monterrey Monterrey AVENIDA MIGUEL HIDALGO 330,POINT (-100.3199957 25.66787358858505),1.9039E+12,11.16747775,Medio,1.9039E+12
AP0703-004,Enterprise,9.624657534,Ophthalmology,CARL ZEISS,HFA 3 860,2021,860-19232,3700,Medium,0.1,59,No,Urban,64000,NorthEast,Nuevo León,Monterrey,Monterrey,AVENIDA MIGUEL HIDALGO 330,,,,-,"AVENIDA MIGUEL HIDALGO 330, Monterrey",25.66787359,-100.3199957,Nuevo León Monterrey Monterrey AVENIDA MIGUEL HIDALGO 330,POINT (-100.3199957 25.66787358858505),1.9039E+12,11.16747775,Medio,1.9039E+12
AP0703-005,Enterprise,9.624657534,Ophthalmology,CARL ZEISS,CLARUS 700,2021,CL700-71774,3700,Medium,0.1,59,No,Urban,64000,NorthEast,Nuevo León,Monterrey,Monterrey,AVENIDA MIGUEL HIDALGO 330,,,,-,"AVENIDA MIGUEL HIDALGO 330, Monterrey",25.66777491,-100.3200253,Nuevo León Monterrey Monterrey AVENIDA MIGUEL HIDALGO 330,POINT (-100.3200253 25.66777491),1.9039E+12,11.16747775,Medio,1.9039E+12
AP0731-001,Enterprise,7.345205479,Odontology,GENERAL ELECTRIC,Logiq P7,2021,706398WX5,240,Medium,0.3,17,No,Rural,31604,NorthWest,Chihuahua,Cuauhtémoc,Cuauhtémoc,KM 10 CARRETERA A CUAUHTEMOC,https://www.instagram.com/clinicamenonita/,https://www.instagram.com/clinicamenonita/,https://www.doctoralia.com.mx/clinicas/s-o-s-hospital-pediatrico,https://soshospitalpediatrico.miadn.mx/,"KM 10 CARRETERA A CUAUHTEMOC, Cuauhtémoc",28.41756369,-106.8709045,Chihuahua Cuauhtémoc Cuauhtémoc KM 10 CARRETERA A CUAUHTEMOC,POINT (-106.8709045 28.41756369),8.017E+11,26.40029292,Alto,8.017E+11
AP0749-001,Man,7.002739726,Gynecology,GENERAL ELECTRIC,LOGIQ P9,2021,LP9370793,660,Micro,0.7,4,Yes,Urban,76160,Center,Querétaro,Querétaro,Ciudad de México,MANUFACTURA 48,https://www.instagram.com/clinica_del_dolor_comedem/?hl=es,https://www.facebook.com/comedem.org.mx/,,https://www.comedem.org.mx/,"MANUFACTURA 48, Ciudad de México",20.60857062,-100.3868431,Querétaro Querétaro Ciudad de México MANUFACTURA 48,POINT (-100.3868431 20.60857061754133),220140001223A,27.93695728,Alto,220140001223A
AP0749-002,Man,7.002739726,Gynecology,VERSANA,ACTIVE 4TX 3G,2021,6131385WX0,660,Micro,0.7,4,Yes,Urban,76160,Center,Querétaro,Querétaro,Querétaro,MANUFACTURA 48,https://www.instagram.com/clinica_del_dolor_comedem/?hl=es,https://www.facebook.com/comedem.org.mx/,https://twitter.com/ComedemAc?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3AComedemAc%7Ctwgr%5EeyJ0ZndfZXhwZXJpbWVudHNfY29va2llX2V4cGlyYXRpb24iOnsiYnVja2V0IjoxMjA5NjAwLCJ2ZXJzaW9uIjpudWxsfSwidGZ3X2hvcml6b25fdHdlZXRfZW1iZWRfOTU1NSI6e,https://www.comedem.org.mx/?fbclid=IwAR2hkQuXwMxsrqWmWgz0seRtk_-K6qFHHV0AcKHPqt-bcE5jrh6xFOyYilw,"MANUFACTURA 48, Querétaro",20.60871885,-100.3869647,Querétaro Querétaro Querétaro MANUFACTURA 48,POINT (-100.3869647 20.60871885),220140001223A,27.93695728,Alto,220140001223A
AP0755-001,Man,18.16164384,Gynecology,GENERL ELECTRIC,P7,2021,LP7370033,200,Small,0.2,6,No,Urban,76030,Center,Querétaro,Querétaro,Querétaro,CIRCUITO DEL MESON 118,https://www.instagram.com/radiointervencionistaqueretaro/,CONFIRMAR EN LLAMADA,https://www.doctoralia.com.mx/manuel-mendoza-aguilar/radiologo/santiago-de-queretaro,https://www.tocdoc.com/doctor/dr-manuel-mendoza-aguilar,"CIRCUITO DEL MESON 118, Querétaro",20.58281514,-100.4024775,Querétaro Querétaro Querétaro CIRCUITO DEL MESON 118,POINT (-100.4024775 20.58281514),2.2014E+12,24.74114626,Alto,2.2014E+12
MS2597-001,Woman,23.64931507,Odontology,CARL ZEISS ,Loupe EyeMag Pro S + Sistema de iluminación,2024,000000-2252-26201,320,Micro,0.6,3,No,Urban,6470,Center,Ciudad de México,Cuauhtémoc,Ciudad de México,GABINO BARREDA 64,,https://www.facebook.com/elisa.alonso.92,,,"GABINO BARREDA 64, Ciudad de México",19.54210771,-99.15150397,Ciudad de México Cuauhtémoc Ciudad de México GABINO BARREDA 64,POINT (-99.15150397 19.54210771),9.005E+11,15.64488507,Medio-Alto,9.005E+11
AP0799-001,Man,9.005479452,Odontology,SIRONA,Scanner Omicam 2.0,2021,-,140,Small,0.3,6,No,Urban,88270,NorthEast,Tamaulipas,Nuevo Laredo,Nuevo Laredo,SONORA 2506,https://www.instagram.com/drs.anderson/,https://www.facebook.com/drs.andersonodontology/,https://www.drsanderson.com.mx/,,"SONORA 2506, Nuevo Laredo",27.47079867,-99.5098813,Tamaulipas Nuevo Laredo Nuevo Laredo SONORA 2506,POINT (-99.5098813 27.47079867),2.8027E+12,15.77894123,Medio-Alto,2.8027E+12
AP0799-001,Man,9.005479452,Odontology,SIRONA,Scanner Omicam 2.0,2021,-,140,Small,0.3,6,No,Urban,88270,NorthEast,Tamaulipas,Nuevo Laredo,Nuevo Laredo,SONORA 2506,https://www.instagram.com/drs.anderson/,https://www.facebook.com/drs.andersonodontology/,https://www.drsanderson.com.mx/,,"SONORA 2506, Nuevo Laredo",27.47079867,-99.5098813,Tamaulipas Nuevo Laredo Nuevo Laredo SONORA 2506,POINT (-99.5098813 27.47079867),2.8027E+12,15.77894123,Medio-Alto,2.8027E+12
AP0801-001,Enterprise,3.868493151,Radiology,INCARE,VARIOS,2021,-,1660,Small,0.5,15,No,Urban,80020,NorthWest,Sinaloa,Culiacán,Culiacán Rosales,BLVD ROTARISMO 1851,https://www.instagram.com/somossalud.mx/?hl=en,https://www.facebook.com/somossaludmx/,,,"BLVD ROTARISMO 1851, Culiacán Rosales",24.81215768,-107.4134785,Sinaloa Culiacán Culiacán Rosales BLVD ROTARISMO 1851,POINT (-107.4134785 24.81215768),2.5006E+12,15.91025301,Medio-Alto,2.5006E+12
AP0802-001,Enterprise,3.608219178,Gynecology,GENERAL ELECTRIC,Transductor L8-18i Hockey Stick,2023, 6129669WX0,2500,Small,0.1,10,Yes,Urban,22044,NorthWest,Baja California,Tijuana,Tijuana,Blvd Agua Caliente 9955 Edificio Torela,,,https://mx.linkedin.com/in/madelinne-granados-482512179,https://dramadelinnegranados.com/,"Blvd Agua Caliente 9955 Edificio Torela, Tijuana",32.51839054,-117.0175551,Baja California Tijuana Tijuana Blvd Agua Caliente 9955 Edificio Torela,POINT (-117.0175551 32.51839054),020040001436A,22.96568981,Alto,020040001436A
AP0822-002,Man,2.712328767,Ophthalmology,Mediworks,REFRACTOR OU-9000,2024,J202211063,2720,Medium,0.2,24,Yes,Urban,72824,Center,Puebla,San Andrés Cholula,San Andrés Cholula,CRT PERIFERICO ECOLOGICO 3507,https://www.instagram.com/linusoftalmologo/,https://www.facebook.com/linusoftalmologo/,https://youtube.com/channel/UCeWXUK_F7taIKP8r4q2vQbw,,"CRT PERIFERICO ECOLOGICO 3507, San Andrés Cholula",19.02093474,-98.26455584,Puebla San Andrés Cholula San Andrés Cholula CRT PERIFERICO ECOLOGICO 3507,POINT (-98.26455584 19.02093473702396),2.1119E+12,8.861167124,Medio,2.1119E+12
AP0823-001,Woman,6.002739726,Gynecology,GENERAL ELECTRIC,LOGIQ P7,2021,LP7370047,140,Micro,0.4,3,No,Urban,44950,West-Bajío,Jalisco,Guadalajara,Guadalajara,ISLA MARTINICA 2867,https://instagram.com/ivetteramosvalenciano?igshid=1lseekmljphhu,https://es-la.facebook.com/ivette.ramosvalenciano,https://mx.linkedin.com/in/ivette-ramos-valenciano-746926168,,"ISLA MARTINICA 2867, Guadalajara",20.64376236,-103.3770896,Jalisco Guadalajara Guadalajara ISLA MARTINICA 2867,POINT (-103.3770896 20.64376236),140390001254A,24.43961157,Alto,140390001254A
AP0873-001,Man,13.00821918,Odontology,DENTSPLY SIRONA,PRIMESCAN,2021,111575,160,Small,0.4,9,No,Urban,87027,NorthEast,Tamaulipas,Victoria,Ciudad Victoria,CALLE 16 NORBERTO TREVIÑO ZAPATA 3075,https://www.instagram.com/dr.polo_vega,https://www.facebook.com/DrLeopoldoVega,https://www.doctoralia.com.mx/leopoldo-vega-govela/dentista-odontologo/ciudad-victoria,,"CALLE 16 NORBERTO TREVIÑO ZAPATA 3075, Ciudad Victoria",23.76610979,-99.14754889,Tamaulipas Victoria Ciudad Victoria CALLE 16 NORBERTO TREVIÑO ZAPATA 3075,POINT (-99.14754889 23.766109787584696),2.8041E+12,29.02062691,Alto,2.8041E+12
AP0873-001,Man,13.00821918,Odontology,DENTSPLY SIRONA,PRIMESCAN,2021,111575,160,Small,0.4,9,No,Urban,87027,NorthEast,Tamaulipas,Victoria,Ciudad Victoria,CALLE 16 NORBERTO TREVIÑO ZAPATA 3075,https://www.instagram.com/dr.polo_vega,https://www.facebook.com/DrLeopoldoVega,https://www.doctoralia.com.mx/leopoldo-vega-govela/dentista-odontologo/ciudad-victoria,,"CALLE 16 NORBERTO TREVIÑO ZAPATA 3075, Ciudad Victoria",23.76614363,-99.14757693,Tamaulipas Victoria Ciudad Victoria CALLE 16 NORBERTO TREVIÑO ZAPATA 3075,POINT (-99.14757693 23.766143627218245),2.8041E+12,29.02062691,Alto,2.8041E+12
AP2572-001,Man,5.890410959,Imagenology,GE HEALTHCARE,OU-9000 & S,2024,6063165WX0,300,Micro,0.6,3,No,Urban,7369,Center,Ciudad de México,Gustavo A. Madero,Ciudad de México,CALZADA TICOMAN 449,https://www.doctoralia.com.mx/jorge-gonzalez-pedraza/radiologo/gustavo-a-madero,https://www.facebook.com/jorge.gonzalezpedraza.104,https://www.linkedin.com/in/jorge-gonz%C3%A1lez-pedraza-48703b16a/?originalSubdomain=mx,,"CALZADA TICOMAN 449, Ciudad de México",19.508674,-99.13169913,Ciudad de México Gustavo A. Madero Ciudad de México CALZADA TICOMAN 449,POINT (-99.13169913 19.508674),9.005E+11,23.96503056,Alto,9.005E+11
AP0889-001,Woman,15.99452055,Gynecology,MINDRAY,DC70 3TX,2021,CJ4-03000963,220,Micro,0.3,4,No,Urban,77533,South,Quintana Roo,Benito Juárez,Cancún,AV NICHUPTE SM 50 MZ 86 LOTE 9 Y 10,https://www.instagram.com/ginecologaencancun/?hl=en,https://www.facebook.com/ginecologaencancun/,https://www.doctoralia.com.mx/nora-cristina-dominguez-gamez/ginecologo/cancun,,"AV NICHUPTE SM 50 MZ 86 LOTE 9 Y 10, Cancún",21.14107861,-86.84782686,Quintana Roo Benito Juárez Cancún AV NICHUPTE SM 50 MZ 86 LOTE 9 Y 10,POINT (-86.84782686 21.14107860726021),2.3005E+12,23.11466085,Alto,2.3005E+12
AP0891-001,Enterprise,14.42739726,Ophthalmology,OPTOVUE QUANTEL,AVANTI XR COMPA,2021,34193,140,Micro,0.2,3,No,Urban,62330,Center,Morelos,Cuernavaca,Cuernavaca,AV. SAN DIEGO 1205,,https://www.facebook.com/Cornealaser-176206659134094/,https://www.doctoralia.com.mx/alfredo-fuad-said-sandoval/oftalmologo/heroes-de-padierna,https://cornealaser.com.mx/,"AV. SAN DIEGO 1205, Cuernavaca",18.94360463,-99.2052188,Morelos Cuernavaca Cuernavaca AV. SAN DIEGO 1205,POINT (-99.2052188 18.94360463),1.7007E+12,14.53866304,Medio-Alto,1.7007E+12
